year	player	age	g	mp	per	ts	3par	ftr	orb	drb	trb	ast	stl	blk	tov	usg	ows	dws	ws	ws_48	obpm	dbpm	bpm	vorp	game_win	mvp_label
1986	Detlef Schrempf	23	64	969	10.9	0.52	0.022	0.483	8.1	14.2	11.2	11.8	1.1	0.6	18	19.6	0.3	0.5	0.8	0.04	-1.3	-1.1	-2.4	-0.1	44	0
1986	Bill Wennington	22	56	562	11.4	0.524	0.026	0.405	6.4	19.2	12.9	4.7	0.9	2.1	10.4	14.6	0.5	0.4	0.9	0.08	-2.3	-1	-3.3	-0.2	44	0
1986	Uwe Blab	23	48	409	7.6	0.502	0	0.713	6.9	17.4	12.2	5.1	0.3	1.6	18.5	15.1	-0.1	0.2	0.1	0.01	-3.8	-1.4	-5.2	-0.3	44	0
1986	Kurt Nimphius	27	13	280	11.3	0.537	0.014	0.403	9.2	14.3	11.8	6.4	0.5	2.3	13.3	14.2	0.3	0.1	0.4	0.07	-0.9	-0.4	-1.3	0.1	44	0
1986	Wallace Bryant	26	9	154	5.3	0.402	0	0.367	6.6	16.8	11.8	8.5	0.9	0.7	16.7	11.1	-0.1	0.1	0	0	-3.4	-0.1	-3.5	-0.1	44	0
1986	Harold Keeling	22	20	75	16.1	0.487	0	0.359	4.5	4.3	4.4	19.3	4.4	0	13.4	28.4	0	0.1	0.1	0.041	-0.9	-1.9	-2.8	0	44	0
1986	Alex English	32	81	3024	21.7	0.562	0.003	0.314	6.3	7.7	7	17	1.1	0.5	10.4	30.5	7.6	2.3	9.8	0.156	3.7	-1.7	2	3	47	0
1986	Fat Lever	25	78	2616	15.7	0.473	0.036	0.172	5.2	11.9	8.4	29.4	3.1	0.3	15.5	19.9	0.9	3.6	4.5	0.082	0.5	1.4	2	2.6	47	0
1986	T.R. Dunn	30	82	2401	9.4	0.493	0.003	0.232	5.9	10.7	8.2	8.2	2.9	0.4	10.9	7.5	1.8	3.1	4.9	0.098	-1	2.9	1.9	2.3	47	0
1986	Wayne Cooper	29	78	2112	16.3	0.509	0.008	0.242	9	21.8	15.1	5.2	0.9	5.9	10.5	20.4	1.6	3.5	5.1	0.116	-2.3	1.7	-0.7	0.7	47	0
1986	Calvin Natt	29	69	2007	18.6	0.562	0.006	0.373	6.2	17	11.3	11.6	1.3	0.4	10.7	23.3	3.9	2.3	6.1	0.146	0.9	-0.7	0.2	1.1	47	0
1986	Bill Hanzlik	28	79	1982	15.3	0.537	0.055	0.547	4.4	9.7	7	20.7	2.4	0.4	15.2	21.1	2.4	2.3	4.7	0.115	0.4	0	0.5	1.2	47	0
1986	Danny Schayes	26	80	1654	13.4	0.585	0.002	0.632	9.3	18.8	13.9	5.9	1.1	2.1	15.7	15.5	2.4	2.2	4.6	0.134	-1.2	0.6	-0.6	0.6	47	0
1986	Mike Evans	30	81	1389	12.4	0.495	0.246	0.208	2.2	5.6	3.8	17.7	2	0	13.7	25.1	-0.1	1.2	1.1	0.037	-0.8	-2.5	-3.3	-0.5	47	0
1986	Elston Turner	26	73	1324	9.6	0.459	0.024	0.14	4.8	11.3	7.9	15.3	2.4	0.3	16.6	14	-0.3	1.6	1.3	0.047	-2.6	0.9	-1.7	0.1	47	0
1986	Pete Williams	20	53	573	11.6	0.587	0	0.36	8.2	18.9	13.3	3	1.5	2.2	12.9	9.9	0.6	0.8	1.4	0.116	-2.5	0.7	-1.8	0	47	0
1986	Willie White	23	43	343	15.1	0.486	0.125	0.137	5	8.6	6.7	21.4	2.4	0.3	12.3	22.8	0.1	0.4	0.5	0.07	-0.5	-1.4	-1.9	0	47	0
1986	Blair Rasmussen	23	48	330	8.7	0.458	0	0.26	11.2	19.9	15.3	6.4	0.4	1.7	19.3	24.2	-0.5	0.4	-0.1	-0.021	-5.7	-1.8	-7.5	-0.5	47	0
1986	Bill Laimbeer	28	82	2891	17.6	0.545	0.013	0.288	10.9	28.9	19.7	6.6	0.9	1.3	9.6	18.7	5.4	3.8	9.2	0.153	0.5	0.5	1	2.2	46	0
1986	Isiah Thomas	24	77	2790	21.2	0.554	0.067	0.37	3.1	7.6	5.3	40.7	2.8	0.4	16.6	24.4	6.1	2.7	8.8	0.151	4.4	-0.6	3.8	4.1	46	0
1986	Kelly Tripucka	26	81	2626	18.3	0.567	0.02	0.359	4.6	9.6	7	14.1	1.6	0.2	11.3	24.1	5.6	1.9	7.5	0.136	2.2	-0.8	1.4	2.2	46	0
1986	Earl Cureton	28	80	2017	11.7	0.523	0.004	0.374	10.2	16.5	13.3	8.4	1.3	1.6	18.6	15.7	0.5	2.1	2.6	0.061	-0.9	1.4	0.5	1.3	46	0
1986	Vinnie Johnson	29	79	1978	17	0.503	0.013	0.215	6.2	5.9	6.1	19.1	1.9	0.6	7.5	23.3	3.4	1.4	4.7	0.115	1.8	-0.9	0.9	1.5	46	0
1986	Joe Dumars	22	82	1957	12.9	0.548	0.027	0.399	3.2	3.3	3.2	24.8	1.6	0.3	18.4	17.2	2.2	1	3.2	0.079	-0.3	-1.8	-2.1	0	46	0
1986	Rick Mahorn	27	80	1442	8.8	0.497	0.003	0.345	8.7	21.9	15.2	5.3	1.3	2.4	21.5	13.7	-0.6	1.9	1.3	0.043	-3.3	1.5	-1.8	0.1	46	0
1986	Kent Benson	31	72	1344	13.8	0.519	0.005	0.2	9.1	20.9	14.8	7.4	2	2.1	11.4	14.8	1.4	1.9	3.2	0.116	-0.8	1.6	0.8	0.9	46	0
1986	Tony Campbell	23	82	1292	12.6	0.506	0.015	0.12	6.7	12.9	9.7	4.8	2.2	0.3	11.8	22	0.1	1.3	1.4	0.053	-2	-1.1	-3.1	-0.4	46	0
1986	John Long	29	62	1176	13.9	0.522	0.029	0.19	4.1	4.7	4.4	9.6	1.6	0.6	9	21.7	1.3	0.7	2	0.08	-0.4	-1.7	-2.1	0	46	0
1986	Mike Gibson	25	32	161	8.7	0.43	0	0.216	9.7	16.9	13.2	3.8	2.3	1.4	9.7	15	0	0.2	0.2	0.059	-3.4	0.1	-3.3	-0.1	46	0
1986	Chuck Nevitt	26	25	101	12.7	0.478	0	0.625	10.3	16.1	13.1	6	0.9	9.4	14.6	18.5	0	0.2	0.2	0.091	-3.7	2.9	-0.8	0	46	0
1986	Ron Crevier	27	2	3	-31.9	0	0	1	34.6	0	17.7	0	0	0	0	37.6	0	0	0	-0.771	-20.3	-11	-31.3	0	46	0
1986	Walker Russell	25	1	2	-0.8	0	0	0	0	0	0	52.7	0	0	0	19.6	0	0	0	-0.271	-13.3	-11.7	-25	0	46	0
1986	Joe Barry Carroll	27	79	2801	17.2	0.516	0.001	0.357	7.2	19.2	13	9.1	1.7	2.8	14.5	26.6	1.1	2.4	3.4	0.059	-0.9	0.3	-0.7	0.9	30	0
1986	Sleepy Floyd	25	82	2764	20	0.587	0.118	0.438	2.9	9	5.8	36.6	2.6	0.3	19.4	21.2	6	1.5	7.5	0.13	3.5	-1.3	2.3	3	30	0
